"日期","时间","剩余电量","行驶里程","位置"
"2020年4月1日","8:14","69%","730","翔殷三村"
"2020年4月1日","8:53","63%","748","光大安石停车场"
"2020年4月1日","12:00","63%","749","光大安石停车场"
"2020年4月1日","12:40","53%","779","康宁路1228号"
"2020年4月1日","13:02","53%","779","康宁路1228号"
"2020年4月1日","13:40","44%","810","光大安石停车场"
"2020年4月1日","18:28","44%","810","光大安石停车场"
"2020年4月1日","18:57","38%","827","翔殷三村"
"2020年4月2日","8:12","38%","828","翔殷三村"
"2020年4月2日","9:02","32%","846","光大安石停车场"
"2020年4月2日","20:57","32%","846","光大安石停车场"
"2020年4月2日","21:18","27%","864","翔殷三村"
"2020年4月3日","8:12","93%","865","翔殷三村"
"2020年4月3日","8:53","88%","883","光大安石停车场"
"2020年4月3日","19:02","83%","900","比亚迪4s店"
"2020年4月3日","19:21","83%","900","翔殷三村"
"2020年4月4日","8:35","83%","902","翔殷三村"
"2020年4月4日","9:28","77%","920","光大安石停车场"
"2020年4月4日","19:12","76%","920","光大安石停车场"
"2020年4月4日","19:38","71%","938","太平洋停车场"
"2020年4月4日","20:07","71%","938","太平洋停车场"
"2020年4月4日","20:16","71%","939","翔殷三村"
"2020年4月5日","9:21","71%","939","翔殷三村"
"2020年4月5日","9:47","64%","957","光大安石停车场"
"2020年4月5日","18:56","89%","957","光大安石停车场"
"2020年4月5日","19:27","83%","976","翔殷三村"
"2020年4月6日","12:41","83%","976","翔殷三村"
"2020年4月6日","13:33","77%","998","徐家汇兆丰大厦停车场"
"2020年4月6日","16:07","77%","998","徐家汇兆丰大厦停车场"
"2020年4月6日","16:57","69%","1027.3","太平洋停车场"
"2020年4月6日","17:40","98%","1027.3","太平洋停车场"
"2020年4月6日","17:56","97%","1028.6","硕和国际停车场"
"2020年4月6日","20:04","97%","1028.6","硕和国际停车场"
"2020年4月6日","20:19","97%","1031.6","翔殷三村"
"2020年4月7日","8:09","97%","1031.6","翔殷三村"
"2020年4月7日","9:12","90%","1050.2","光大安石停车场"
"2020年4月7日","19:36","90%","1050.2","光大安石停车场"
"2020年4月7日","20:03","85%","1068.4","翔殷三村"
"2020年4月8日","8:11","85%","1068.4","翔殷三村"
"2020年4月8日","8:58","79%","1087.1","光大安石停车场"
"2020年4月8日","20:26","79%","1087.1","光大安石停车场"
"2020年4月8日","21:09","71%","1115.7","科投大厦停车场"
"2020年4月8日","22:37","71%","1115.7","科投大厦停车场"
"2020年4月8日","23:15","66%","1135.1","翔殷三村"
"2020年4月9日","8:11","66%","1135.1","翔殷三村"
"2020年4月9日","8:54","60%","1153.5","光大安石停车场"
"2020年4月9日","20:36","60%","1153.5","光大安石停车场"
"2020年4月9日","21:05","55%","1172","翔殷三村"
"2020年4月10日","8:09","55%","1172","翔殷三村"
"2020年4月10日","9:02","50%","1190.7","光大安石停车场"
"2020年4月10日","18:23","96%","1190.7","光大安石停车场"
"2020年4月10日","19:04","91%","1208.9","翔殷三村"
"2020年4月11日","15:26","91%","1208.9","翔殷三村"
"2020年4月11日","16:52","84%","1233.7","中友大厦停车场"
"2020年4月11日","19:24","84%","1233.7","中友大厦停车场"
"2020年4月11日","20:04","80%","1248.3","科投大厦停车场"
"2020年4月11日","22:19","80%","1248.3","科投大厦停车场"
